,symbol,open,high,low,close,volume
2020-07-08,BINANCE:BTCDOWNUSDT,10.16,10.87,10.15,10.7,125.3727
2020-07-09,BINANCE:BTCDOWNUSDT,10.71,11.0,10.43,10.54,131.521
2020-07-10,BINANCE:BTCDOWNUSDT,10.54,10.83,10.47,10.7,49.9822
2020-07-11,BINANCE:BTCDOWNUSDT,10.68,10.9,10.32,10.49,92.8882
2020-07-12,BINANCE:BTCDOWNUSDT,10.46,10.77,10.33,10.63,141.0128
2020-07-13,BINANCE:BTCDOWNUSDT,10.69,11.03,10.56,10.6,103.9622
2020-07-14,BINANCE:BTCDOWNUSDT,10.6,10.91,10.56,10.76,80.3496
2020-07-15,BINANCE:BTCDOWNUSDT,10.82,11.32,10.71,11.04,127.995
2020-07-16,BINANCE:BTCDOWNUSDT,11.07,11.21,10.91,11.01,65.8312
2020-07-17,BINANCE:BTCDOWNUSDT,11.01,11.1,10.83,10.91,59.8384
2020-07-18,BINANCE:BTCDOWNUSDT,10.93,11.17,10.73,10.81,51.3135
2020-07-19,BINANCE:BTCDOWNUSDT,10.8,11.07,10.78,11.01,62.7198
2020-07-20,BINANCE:BTCDOWNUSDT,10.99,10.99,10.11,10.26,154.2692
2020-07-21,BINANCE:BTCDOWNUSDT,10.25,10.55,9.8,9.85,90.5362
2020-07-22,BINANCE:BTCDOWNUSDT,9.84,10.07,9.4,9.65,141.3468
2020-07-23,BINANCE:BTCDOWNUSDT,9.63,9.98,9.5,9.8,66.7979
2020-07-24,BINANCE:BTCDOWNUSDT,9.8,9.81,9.2,9.31,65.7144
2020-07-25,BINANCE:BTCDOWNUSDT,9.33,9.43,7.64,8.43,334.9907
2020-07-26,BINANCE:BTCDOWNUSDT,8.4,8.43,6.06,6.58,1439.7693
2020-07-27,BINANCE:BTCDOWNUSDT,6.58,7.26,6.26,6.78,785.0169
2020-07-28,BINANCE:BTCDOWNUSDT,6.76,6.85,6.19,6.47,522.0239
2020-07-29,BINANCE:BTCDOWNUSDT,6.51,6.88,6.38,6.5,549.9568
2020-07-30,BINANCE:BTCDOWNUSDT,6.52,6.69,6.1,6.23,427.5627
2020-07-31,BINANCE:BTCDOWNUSDT,6.22,6.37,5.46,5.54,538.8015
2020-08-01,BINANCE:BTCDOWNUSDT,5.52,7.18,5.11,6.43,509.2194
2020-08-02,BINANCE:BTCDOWNUSDT,6.47,6.66,5.78,6.14,169.9602
2020-08-03,BINANCE:BTCDOWNUSDT,6.12,6.38,5.88,6.16,123.9519
2020-08-04,BINANCE:BTCDOWNUSDT,6.17,6.26,5.43,5.49,350.6473
2020-08-05,BINANCE:BTCDOWNUSDT,5.49,5.68,5.28,5.41,205.8943
2020-08-06,BINANCE:BTCDOWNUSDT,5.42,6.0,5.33,5.69,318.882
2020-08-07,BINANCE:BTCDOWNUSDT,5.7,5.77,5.36,5.46,173.7993
